Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.99392,0.9659440990309752,1.0,0.9826770756168443,0.999999963562724
Random Forest,0.99694,0.9831707456215415,0.9993621339518701,0.9912003220797148,0.9997348641613972
XGBoost,0.99938,0.9967046308608429,0.9997100608872137,0.9982050836662614,0.9999986434121869
Neural Network,0.99996,1.0,0.999768048709771,0.9998840109029752,0.9999994001863802
