DOT_CODE,FL_NUMBER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,YEAR,MONTH,DAY,DAY_OF_WEEK,QUARTER,DEP_HOUR,IS_WEEKEND,ROUTE_FREQUENCY,ORIGIN_DAILY_FLIGHTS,ORIGIN,DEST,SEASON,TIME_OF_DAY,DISTANCE_CATEGORY,DAY_OF_WEEK
19790,440,1115,1109.0,12.0,1121.0,1508.0,7.0,1515,1515.0,180.0,186.0,167.0,1182.0,0.0,0.0,0.0,0.0,0.0,2019,7,17,2,3,11,0,92,5,248,189,2,2,0,2
20304,4703,1746,1759.0,30.0,1829.0,2105.0,5.0,2052,2110.0,126.0,131.0,96.0,752.0,18.0,0.0,0.0,0.0,0.0,2021,8,5,3,3,17,0,21,20,99,237,2,0,1,3
19790,2459,1659,1649.0,13.0,1702.0,1913.0,3.0,1935,1916.0,96.0,87.0,71.0,507.0,0.0,0.0,0.0,0.0,0.0,2022,5,19,3,2,16,0,375,3,276,334,1,0,1,3
19393,562,615,612.0,15.0,627.0,726.0,3.0,740,729.0,85.0,77.0,59.0,406.0,0.0,0.0,0.0,0.0,0.0,2019,11,27,2,4,6,0,469,18,23,356,0,3,2,2
19393,1509,735,729.0,10.0,739.0,924.0,3.0,925,927.0,230.0,238.0,225.0,1524.0,0.0,0.0,0.0,0.0,0.0,2020,8,29,5,3,7,1,106,2,235,198,2,2,0,5
19790,820,700,701.0,12.0,713.0,1346.0,12.0,1405,1358.0,245.0,237.0,213.0,1892.0,0.0,0.0,0.0,0.0,0.0,2021,1,10,6,1,7,1,141,4,313,23,3,2,0,6
19805,1844,1543,1537.0,14.0,1551.0,1815.0,5.0,1842,1820.0,119.0,103.0,84.0,651.0,0.0,0.0,0.0,0.0,0.0,2019,3,3,6,1,15,1,323,9,325,275,1,0,1,6
20304,5336,1807,1923.0,24.0,1947.0,2218.0,39.0,2115,2257.0,128.0,154.0,91.0,606.0,0.0,0.0,102.0,0.0,0.0,2022,5,20,4,2,18,0,450,17,261,23,1,0,1,4
20304,3465,1815,1808.0,11.0,1819.0,1924.0,6.0,1949,1930.0,94.0,82.0,65.0,372.0,0.0,0.0,0.0,0.0,0.0,2023,4,18,1,2,18,0,245,11,325,338,1,0,2,1
20416,1760,800,754.0,12.0,806.0,1004.0,38.0,1023,1042.0,143.0,168.0,118.0,945.0,0.0,0.0,19.0,0.0,0.0,2020,11,27,4,4,8,0,83,1,180,310,0,2,1,4
20452,5760,620,723.0,25.0,748.0,823.0,11.0,724,834.0,64.0,71.0,35.0,164.0,63.0,0.0,7.0,0.0,0.0,2021,7,2,4,3,6,0,176,2,27,23,2,3,2,4
20452,5690,1345,1345.0,32.0,1417.0,1503.0,11.0,1525,1514.0,100.0,89.0,46.0,187.0,0.0,0.0,0.0,0.0,0.0,2023,8,8,1,3,13,0,400,6,49,189,2,0,2,1
20363,5077,1936,2008.0,27.0,2035.0,2311.0,8.0,2247,2319.0,131.0,131.0,96.0,812.0,0.0,0.0,0.0,0.0,32.0,2019,2,28,3,1,19,0,123,16,100,89,3,1,1,3
19805,2259,1300,1347.0,12.0,1359.0,1408.0,9.0,1332,1417.0,152.0,150.0,129.0,868.0,14.0,0.0,0.0,0.0,31.0,2019,6,7,4,2,13,0,324,22,100,275,2,0,1,4
19930,99,950,945.0,25.0,1010.0,1233.0,4.0,1236,1237.0,166.0,172.0,143.0,1009.0,0.0,0.0,0.0,0.0,0.0,2021,10,9,5,4,9,1,209,7,276,270,0,2,0,5
20304,3070,1601,1745.0,18.0,1803.0,1932.0,19.0,1741,1951.0,160.0,186.0,149.0,719.0,0.0,0.0,26.0,0.0,104.0,2019,1,2,2,1,16,0,341,12,123,260,3,0,1,2
20416,620,1337,1327.0,11.0,1338.0,1444.0,9.0,1514,1453.0,97.0,86.0,66.0,453.0,0.0,0.0,0.0,0.0,0.0,2022,8,16,1,3,13,0,208,5,108,274,2,0,2,1
19790,898,1930,1945.0,26.0,2011.0,2257.0,4.0,2304,2301.0,214.0,196.0,166.0,1185.0,0.0,0.0,0.0,0.0,0.0,2019,11,22,4,4,19,0,178,10,49,356,0,1,0,4
20398,3887,1840,1841.0,22.0,1903.0,2048.0,2.0,2046,2050.0,126.0,129.0,105.0,692.0,0.0,0.0,0.0,0.0,0.0,2022,7,14,3,3,18,0,59,14,100,79,2,0,1,3
20409,883,1648,1646.0,43.0,1729.0,1945.0,33.0,2001,2018.0,193.0,212.0,136.0,944.0,0.0,0.0,17.0,0.0,0.0,2019,7,24,2,3,16,0,328,12,190,222,2,0,1,2
20378,5775,1925,1919.0,20.0,1939.0,2059.0,2.0,2111,2101.0,106.0,102.0,80.0,597.0,0.0,0.0,0.0,0.0,0.0,2020,9,2,2,3,19,0,143,11,100,38,0,1,1,2
19790,2484,1751,1747.0,15.0,1802.0,1934.0,6.0,2004,1940.0,73.0,53.0,32.0,134.0,0.0,0.0,0.0,0.0,0.0,2023,3,24,4,1,17,0,216,1,38,23,1,0,2,4
20363,5317,1300,1255.0,8.0,1303.0,1342.0,3.0,1411,1345.0,71.0,50.0,39.0,227.0,0.0,0.0,0.0,0.0,0.0,2020,11,27,4,4,13,0,131,1,358,23,0,0,2,4
20363,5304,615,614.0,5.0,619.0,656.0,4.0,721,700.0,66.0,46.0,37.0,227.0,0.0,0.0,0.0,0.0,0.0,2021,3,9,1,1,6,0,131,1,358,23,1,3,2,1
19393,1092,1200,1203.0,12.0,1215.0,1310.0,5.0,1340,1315.0,160.0,132.0,115.0,854.0,0.0,0.0,0.0,0.0,0.0,2022,2,18,4,1,12,0,59,16,99,210,3,2,1,4
20452,3646,2059,2111.0,15.0,2126.0,2303.0,6.0,2332,2309.0,213.0,178.0,157.0,1134.0,0.0,0.0,0.0,0.0,0.0,2020,2,28,4,1,20,0,16,8,123,257,3,1,0,4
20436,498,1351,1405.0,13.0,1418.0,1817.0,10.0,1823,1827.0,152.0,142.0,119.0,1015.0,0.0,0.0,0.0,0.0,0.0,2023,3,21,1,1,13,0,94,19,99,149,1,0,0,1
19393,711,1310,1304.0,6.0,1310.0,1359.0,3.0,1420,1402.0,70.0,58.0,49.0,296.0,0.0,0.0,0.0,0.0,0.0,2020,5,28,3,2,13,0,80,1,213,93,1,0,2,3
20398,3922,1124,1115.0,12.0,1127.0,1154.0,4.0,1219,1158.0,55.0,43.0,27.0,140.0,0.0,0.0,0.0,0.0,0.0,2020,3,23,0,1,11,0,64,12,100,142,1,2,2,0
19393,1820,1810,1810.0,14.0,1824.0,2049.0,10.0,2100,2059.0,290.0,289.0,265.0,1754.0,0.0,0.0,0.0,0.0,0.0,2019,11,26,1,4,18,0,229,10,49,99,0,0,0,1
20304,3055,1745,1746.0,13.0,1759.0,1741.0,6.0,1755,1747.0,70.0,61.0,42.0,261.0,0.0,0.0,0.0,0.0,0.0,2019,1,27,6,1,17,1,146,10,276,290,3,0,2,6
19393,2104,1525,1649.0,19.0,1708.0,1928.0,5.0,1800,1933.0,95.0,104.0,80.0,602.0,10.0,0.0,9.0,0.0,74.0,2022,3,13,6,1,15,1,640,5,276,99,1,0,1,6
20397,5245,520,516.0,13.0,529.0,630.0,3.0,644,633.0,84.0,77.0,61.0,282.0,0.0,0.0,0.0,0.0,0.0,2019,8,3,5,3,5,1,54,1,274,77,2,3,2,5
20436,2080,2029,2016.0,10.0,2026.0,2135.0,12.0,2210,2147.0,101.0,91.0,69.0,414.0,0.0,0.0,0.0,0.0,0.0,2021,8,26,3,3,20,0,413,7,325,198,2,1,2,3
19930,222,700,846.0,38.0,924.0,1341.0,6.0,1150,1347.0,170.0,181.0,137.0,1164.0,2.0,0.0,11.0,0.0,104.0,2022,12,17,5,4,7,1,122,6,313,26,3,2,0,5
20436,2334,1614,1634.0,20.0,1654.0,2320.0,9.0,2301,2329.0,227.0,235.0,206.0,1587.0,20.0,0.0,8.0,0.0,0.0,2023,5,18,3,2,16,0,251,5,276,23,1,0,0,3
20304,4299,1140,1134.0,6.0,1140.0,1333.0,7.0,1403,1340.0,83.0,66.0,53.0,344.0,0.0,0.0,0.0,0.0,0.0,2022,9,27,1,3,11,0,28,1,179,108,0,2,2,1
20363,5336,712,708.0,33.0,741.0,1051.0,6.0,1100,1057.0,168.0,169.0,130.0,1031.0,0.0,0.0,0.0,0.0,0.0,2023,1,24,1,1,7,0,21,1,107,209,3,2,0,1
